,placekey,location_name,top_category,naics_code,poi_cbg
3451,zzw-225@628-pg3-gx5,Grace Epiphany Church,Religious Organizations,813110,421010256002.0
3452,zzw-225@628-pm9-y9z,Pizza Da'Action,Restaurants and Other Eating Places,722511,421010010021.0
3453,zzw-228@628-pnx-skf,Fermentery Form,Beverage Manufacturing,312120,421010157003.0
3454,zzy-222@628-pj6-j9z,Aspira Hostos Afterschool Program,Child Day Care Services,624410,421010271002.0
3455,zzy-222@628-pmb-ks5,Starbucks,Restaurants and Other Eating Places,722515,421010001001.0
3456,zzy-222@628-pnw-snq,LUKOIL,Gasoline Stations,447110,421010366001.0
3457,zzy-223@628-pm8-gzf,Dunkin',Restaurants and Other Eating Places,722515,421019806001.0
3458,zzz-222@628-pgj-2x5,Dendy Recreation Center,"Museums, Historical Sites, and Similar Institutions",712190,421010145001.0
3459,zzw-223@628-phy-49z,La Boutique PA,Clothing Stores,4481,421010288003.0
3460,zzw-223@628-pmb-4d9,Acme Markets,Grocery Stores,445110,421010010022.0
3461,zzw-223@628-pmb-v4v,Bleu Martini,Restaurants and Other Eating Places,722511,421010001001.0
3462,zzw-224@628-pmb-7t9,Intuitive Counseling,Offices of Other Health Practitioners,621330,421010006001.0
3463,zzw-226@628-pm8-rp9,Foot Locker,Shoe Stores,448210,421010038002.0
3464,zzw-22f@628-pmb-kvf,The Angelo Pizza,Restaurants and Other Eating Places,722511,421010001001.0
3465,zzw-22h@628-pgf-2ff,David I Lee MD FACS,Offices of Physicians,621111,421010091002.0
3466,zzy-222@628-p8d-kfz,McDonald's,Restaurants and Other Eating Places,722513,421010382003.0
3467,zzy-222@628-pgm-4sq,Mcdevitt Recreation Center,Other Amusement and Recreation Industries,713990,421010170001.0
3468,zzy-222@628-pmd-zpv,Head Start Learning Tree,Child Day Care Services,624410,421010021001.0
3469,zzy-222@628-pp5-2rk,McDonald's,Restaurants and Other Eating Places,722513,421010163002.0
3470,zzy-226@628-pmb-yqf,Nine Ting,Restaurants and Other Eating Places,722511,421010002001.0
3471,zzz-222@628-pgh-2rk,20Th and Tioga Ballfield,"Museums, Historical Sites, and Similar Institutions",712190,421010202006.0
3472,zzz-222@628-pj5-kcq,Jose Manuel Collazo Playground,Other Amusement and Recreation Industries,713990,421010195013.0
3473,zzw-223@628-pmf-hqz,School of Professional Studies Eastern University,"Colleges, Universities, and Professional Schools",611310,421010004022.0
3474,zzw-224@628-p9p-qj9,Onyx Hookah Lounge,Gambling Industries,713210,421010356012.0
3475,zzw-225@628-p7x-w6k,Vybe Urgent Care,Outpatient Care Centers,6214,421010335002.0
3476,zzw-227@628-pgb-28v,Tower Health Medical Group Transplant Surgery,Offices of Physicians,621111,421010002001.0
3477,zzw-228@628-pmf-n3q,Plaza Flowers Center City,Florists,453110,421010004022.0
3478,zzy-222@628-pgb-3wk,Little Pete's Restaurant,Restaurants and Other Eating Places,722511,421010003001.0
3479,zzy-222@628-pgb-s3q,Boxing Training With Coach Rock,Other Schools and Instruction,611620,421010376001.0
3480,zzy-222@628-pgj-f9f,Tran's Chinese Food,Restaurants and Other Eating Places,722511,421010140002.0
3481,zzy-223@628-pj9-85f,Praise Temple Apostolic Way of the Cross Church,Religious Organizations,813110,421010282002.0
3482,zzy-224@628-pjb-6zf,Free Library of Phila,Other Information Services,519120,421010276004.0
3483,zzz-222@628-p9v-fvf,Fitzpatrick Playground,Other Amusement and Recreation Industries,713990,421010363011.0
3484,zzz-222@628-pgj-6p9,Diamond Park,"Museums, Historical Sites, and Similar Institutions",712190,421010153002.0
3485,zzw-223@628-p7x-qpv,Mscf Lincoln Hs Infant Toddler Center,Child Day Care Services,624410,421010332002.0
3486,zzw-223@628-pj5-2kz,Metro by T Mobile Authorized Dealer,Electronics and Appliance Stores,443142,421010203001.0
3487,zzw-223@628-pj5-mhq,St Christopher& 039 S Pediatric Associates Regional Fetal Evaluation Center,Offices of Physicians,621111,421010383001.0
3488,zzw-223@628-pjg-hnq,Mom's Bake At Home Pizza,Restaurants and Other Eating Places,722511,421010257002.0
3489,zzw-223@628-pm4-h5z,D'Emilio's Old World Ice Treats,Restaurants and Other Eating Places,722515,421010025002.0
3490,zzw-223@628-pp4-qzz,CVS,Health and Personal Care Stores,446110,421010160006.0
3491,zzw-224@628-pgj-rx5,Caring People Alliance At Joseph C Ferguson,Child Day Care Services,624410,421010377002.0
3492,zzw-225@628-pmb-yd9,Zhong Gang Bakery,Restaurants and Other Eating Places,722515,421010002001.0
3493,zzw-228@628-pmf-975,PaperMill Spurritos Bowls & Banh Mi,Restaurants and Other Eating Places,722511,421010369003.0
3494,zzw-229@628-p83-d7q,Majestic Beauty Nails,Personal Care Services,81211,421010337011.0
3495,zzy-222@628-p7w-rc5,The Men's Wearhouse,Clothing Stores,448110,421010314021.0
3496,zzy-222@628-p7w-tvz,Roosevelt Mall Flea Market,Used Merchandise Stores,453310,421010334004.0
3497,zzy-222@628-p8n-7wk,HESSERT CHEVROLET,Automobile Dealers,441110,421010317002.0
3498,zzy-223@628-pmb-835,Tortiyeah,Restaurants and Other Eating Places,722511,421010005001.0
3499,zzz-222@628-pg2-4vz,Fairview Park,"Museums, Historical Sites, and Similar Institutions",712190,421010214005.0
3500,zzw-223@628-p8d-kxq,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421010293002.0
3501,zzw-223@628-php-qxq,Sisters of St Jos,Religious Organizations,813110,421010265002.0
3502,zzw-223@63s-dvv-4d9,Emma's Liberian Kitchen,Restaurants and Other Eating Places,722511,421010063004.0
3503,zzw-224@628-p9k-3dv,Philadelphia Academy Cs,Elementary and Secondary Schools,611110,421010360001.0
3504,zzw-224@628-pmb-v4v,Fine Wine and Good Spirits,"Beer, Wine, and Liquor Stores",445310,421010001001.0
3505,zzw-225@628-pm5-py9,SciFood Crown,Restaurants and Other Eating Places,722515,421010372004.0
3506,zzw-225@628-pmb-jsq,The Garden Pop Up,Drinking Places (Alcoholic Beverages),722410,421010366001.0
3507,zzw-22g@628-pmb-ckf,Noveee Records,Sound Recording Industries,512240,421010015001.0
3508,zzy-222@628-p8v-btv,Pfvy Decatur School,Child Day Care Services,624410,421010363011.0
3509,zzy-222@628-pgf-ffz,Black Pearl BBQ,Restaurants and Other Eating Places,722511,421010092001.0
3510,zzy-222@628-phn-qmk,Stenton Avenue Sunoco,Automotive Repair and Maintenance,8111,421010261002.0
3511,zzy-222@63s-dvq-jd9,Tabernacle Lutheran Church,Religious Organizations,813110,421010083023.0
3512,zzy-223@63s-dvw-dgk,Sunflower Spacecakes,Health and Personal Care Stores,446110,421010103002.0
3513,zzz-222@628-pm3-v9f,Disilvestro Playground,"Museums, Historical Sites, and Similar Institutions",712190,421010030012.0
3514,zzz-222@63s-dw8-hdv,82Nd and Lyons Park,"Museums, Historical Sites, and Similar Institutions",712190,421010056001.0
3515,zzw-223@628-p7w-tn5,Way Out,Clothing Stores,4481,421010334004.0
3516,zzw-223@628-pgd-zzz,Daskalakis Athletic Center,Spectator Sports,711211,421010090004.0
3517,zzw-223@628-pgm-35z,Bud's Auto Repair,Automotive Repair and Maintenance,8111,421010170001.0
3518,zzw-223@628-pm4-cqz,Mediterranean Cafe,Restaurants and Other Eating Places,722515,421010039011.0
3519,zzw-224@628-p74-cqz,Summerdale Mills Fabric and Home Decorating Center,"Sporting Goods, Hobby, and Musical Instrument Stores",451130,421010329001.0
3520,zzw-226@628-p9w-sqz,New Georgian House Restaurant,Restaurants and Other Eating Places,722511,421010365011.0
3521,zzw-226@628-pmf-sqz,Lite Choice,Restaurants and Other Eating Places,722515,421010008043.0
3522,zzw-22b@628-pjf-zcq,Tower Health Medical Group Endocrinology U0026 Diabetes,Offices of Physicians,621111,421010387002.0
3523,zzw-22m@628-pgf-2ff,Penn Cardiology,Offices of Physicians,621111,421010091002.0
3524,zzw-22v@628-pm9-y9z,The Strange And Unusual,Used Merchandise Stores,453310,421010010021.0
3525,zzy-222@628-pmb-mtv,St Frances X Cabrini Home,Religious Organizations,813110,421010366001.0
3526,zzy-222@628-pnw-yjv,,,0,421010141001.0
3527,zzy-222@63s-dvw-xh5,Mattie's Water Ice,Restaurants and Other Eating Places,722515,421010084005.0
3528,zzy-223@628-pgj-9cq,YOLO Cafe,Restaurants and Other Eating Places,722513,421010167024.0
3529,zzz-222@628-p78-6kz,Poquessing Creek Park Dimarco,"Museums, Historical Sites, and Similar Institutions",712190,421010362033.0
3530,zzz-222@628-pj2-6zf,Mcveigh Recreation Center,"Museums, Historical Sites, and Similar Institutions",712190,421010192005.0
3531,zzz-222@628-pm6-zvf,29Th and Passyunk Playground,Other Amusement and Recreation Industries,713990,421010036003.0
3532,zzw-223@628-p9k-45f,ShopRite,Grocery Stores,445110,421010360001.0
3533,zzw-223@628-pj2-5s5,Levyn Jonathan B DO,Offices of Physicians,621111,421010192001.0
3534,zzw-223@63s-dvw-sbk,Metro by T Mobile Authorized Dealer,Electronics and Appliance Stores,443142,421010102002.0
3535,zzw-227@628-pj6-qfz,Ashley Stewart,Clothing Stores,448120,421010273001.0
3536,zzw-227@628-pjf-zcq,Chestnut Hill Surgical Associates,Offices of Physicians,621111,421010387002.0
3537,zzy-222@628-pnw-sqz,Penn's Landing,"Promoters of Performing Arts, Sports, and Similar Events",711310,421010366001.0
3538,zzy-222@628-pp5-qs5,Jerusalem Furniture,Furniture Stores,442110,421010176013.0
3539,zzy-222@63s-dw2-9fz,West Philadelphia Primary Care Center,General Medical and Surgical Hospitals,622110,421010083012.0
3540,zzy-222@63s-dw9-wtv,Admirals Club PHL Terminal F,Drinking Places (Alcoholic Beverages),722410,421019804001.0
3541,zzy-22k@628-pmf-6x5,Penn Dermatology,Offices of Physicians,621111,421010369002.0
3542,zzz-222@628-pj9-qpv,Shevchenko Park,"Museums, Historical Sites, and Similar Institutions",712190,421010282001.0
3543,zzz-222@63s-dvq-6x5,Malcolm X Memorial Park,"Museums, Historical Sites, and Similar Institutions",712190,421010080001.0
3544,zzw-223@628-p9k-sbk,M S M Sales,Automobile Dealers,441120,421010360001.0
3545,zzy-222@628-pg4-gzf,Dunkin',Restaurants and Other Eating Places,722515,421010241001.0
3546,zzy-222@628-pp5-2hq,Los tios Mexican & Dominican Food Truck,Restaurants and Other Eating Places,722513,421010163002.0
3547,zzy-222@63s-dvr-ghq,,,0,421010067004.0
3548,zzy-222@63s-dw8-2c5,Philadelphia Fire Department Engine 69,"Justice, Public Order, and Safety Activities",922160,421019809001.0
3549,zzy-226@628-pjf-kcq,Clover Market,Used Merchandise Stores,453310,421010385002.0
3550,zzz-222@628-p9p-kxq,Baldi School Playground,Other Amusement and Recreation Industries,713990,421010344002.0
3551,zzz-222@628-pj4-2hq,Hunting Park,"Museums, Historical Sites, and Similar Institutions",712190,421019805001.0
3552,zzw-223@628-pg8-jgk,Fresenius Medical Care,Outpatient Care Centers,621410,421010138002.0
3553,zzw-223@628-pgb-28v,Tower Health Medical Group Internal Medicine,Offices of Physicians,621111,421010002001.0
3554,zzw-223@628-phk-psq,Nest Presbyterian Church,Child Day Care Services,624410,421010269002.0
3555,zzw-223@628-phz-swk,Midlantic Foods,Specialty Food Stores,445210,421010188004.0
3556,zzw-223@63s-dw9-85f,Le Bus Cafe,Restaurants and Other Eating Places,722513,421019804001.0
3557,zzw-224@628-pp5-d5f,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421010178002.0
3558,zzw-225@628-pmb-5vf,Macy's,Department Stores,452210,421010005001.0
3559,zzw-225@628-pmf-sqz,Qdoba Mexican Grill,Restaurants and Other Eating Places,722513,421010008043.0
3560,zzw-226@628-pm9-85f,Questloves Cheesesteak,Restaurants and Other Eating Places,722511,421019806001.0
3561,zzw-228@628-p8f-d7q,Cramer's Kiddie Shoppes Kids,Clothing Stores,4481,421010294001.0
3562,zzy-222@628-pfw-k2k,Falls Presbyterian Church,Religious Organizations,813110,421010207001.0
3563,zzy-223@628-pfy-f75,Halal Food Truck,Restaurants and Other Eating Places,722513,421010212001.0
3564,zzy-225@628-pgf-2zf,Ron C Anafi MD PhD,Offices of Physicians,621111,421010369001.0
3565,zzz-222@628-pgj-4qf,Temple University,"Museums, Historical Sites, and Similar Institutions",712190,421010377001.0
3566,zzw-223@628-p8d-hdv,Department of Human Services,Administration of Human Resource Programs,9231,421010294002.0
3567,zzw-223@628-pgb-d9z,The Barnes Foundation,"Museums, Historical Sites, and Similar Institutions",712110,421010125003.0
3568,zzw-223@628-pgy-n3q,St Marys Church At The Cathedral Church Of Christ,Religious Organizations,813110,421010220001.0
3569,zzw-223@628-pm4-gtv,Dunkin',Restaurants and Other Eating Places,722515,421010040014.0
3570,zzw-223@63s-dvw-n89,Cramer's Uniforms,Clothing Stores,4481,421010085007.0
3571,zzw-224@628-pg2-hdv,Uptown Dog Pet Salon,Other Personal Services,812910,421010255003.0
3572,zzw-224@628-pm9-zmk,Declaration House,"Museums, Historical Sites, and Similar Institutions",712120,421010015001.0
3573,zzw-22d@628-pmf-mtv,,,0,421010004022.0
3574,zzy-222@628-pgb-bp9,Tom's Trust Deli,Grocery Stores,445120,421010136012.0
3575,zzy-222@628-pmf-w49,University Of Pennsylvania,"Colleges, Universities, and Professional Schools",611310,421010369003.0
3576,zzz-222@628-pft-zs5,Kendrick Recreation Center,"Museums, Historical Sites, and Similar Institutions",712190,421010210001.0
3577,zzw-223@628-p74-bx5,Liberty Licensing & Consulting,Administration of Economic Programs,926120,421010331021.0
3578,zzw-223@628-p8t-pjv,Our Lady Of Calvary School,Elementary and Secondary Schools,611110,421010362023.0
3579,zzw-223@628-pm5-sh5,Dunkin',Restaurants and Other Eating Places,722515,421010372004.0
3580,zzw-223@628-pmf-mtv,,,0,421010004022.0
3581,zzw-223@63s-dwf-9mk,DaVita,Outpatient Care Centers,621492,421010060001.0
3582,zzw-224@628-p7z-xnq,Burger King,Restaurants and Other Eating Places,722513,421010312003.0
3583,zzw-225@628-p8n-c5z,Isd Renal Inc,Outpatient Care Centers,621492,421010317004.0
3584,zzw-225@628-pgd-zfz,Blaze Pizza,Restaurants and Other Eating Places,722511,421010090004.0
3585,zzw-225@628-pnw-sbk,Zee Bar,Drinking Places (Alcoholic Beverages),722410,421010367001.0
3586,zzw-227@628-pjf-z75,Delaware Valley Nephrology,Offices of Physicians,621111,421010387002.0
3587,zzw-229@628-pnz-zvf,Ross Stores,Department Stores,452210,421010382002.0
3588,zzw-22f@628-pmf-j7q,Frecon Farms,Specialty Food Stores,445230,421010007002.0
3589,zzy-222@63s-dvx-d5f,East Coast Auto Depot,Automotive Repair and Maintenance,8111,421010104003.0
3590,zzy-222@63s-dw9-54v,Travelex Currency Services,Activities Related to Credit Intermediation,522390,421019804001.0
3591,zzy-223@628-pj9-4qf,Albert Einstein Medical Center,Outpatient Care Centers,621492,421010282003.0
3592,zzy-223@63s-dvx-9j9,New Bethel Apostolic Church,Religious Organizations,813110,421010104004.0
3593,zzy-228@628-pmf-n3q,Dunkin',Restaurants and Other Eating Places,722515,421010004022.0
3594,zzz-222@628-pj2-k9f,Juniata Park Older Adult Center,"Museums, Historical Sites, and Similar Institutions",712190,421010191005.0
3595,zzw-223@628-p7v-ghq,Little Nicky's Grill & Pizza,Restaurants and Other Eating Places,722511,421010310001.0
3596,zzw-223@628-pj8-r6k,Ross Stores,Department Stores,452210,421010390001.0
3597,zzw-223@628-pmb-dsq,Academy At Palumbo,Elementary and Secondary Schools,611110,421010018002.0
3598,zzw-223@628-pmb-vfz,The Book Trader,Book Stores and News Dealers,451211,421010001001.0
3599,zzw-224@628-pj3-xqz,Holy Trinity Bethlehem Presbyterian Church,Religious Organizations,813110,421010283002.0
3600,zzw-225@628-p9r-2ff,Bustleton Bikes,"Sporting Goods, Hobby, and Musical Instrument Stores",451110,421010346001.0
3601,zzw-228@628-ph8-rkz,Applebee's,Restaurants and Other Eating Places,722511,421010098023.0
3602,zzw-242@628-phz-zj9,St Christopher& 039 S Pediatric Associates Critical Care,Offices of Physicians,621111,421010383001.0
3603,zzy-222@628-pm4-sh5,La Sarten Express Food,Restaurants and Other Eating Places,722515,421010028011.0
3604,zzy-223@63s-dw9-7kf,,,0,421019804001.0
3605,zzy-224@628-phz-qcq,Associated Market Place,Grocery Stores,445110,421010191005.0
3606,zzy-224@628-pm9-whq,Old City Beer Garden,Drinking Places (Alcoholic Beverages),722410,421010001001.0
3607,zzz-222@628-pr4-33q,Poquessing Creek Park Mechanicsville,"Museums, Historical Sites, and Similar Institutions",712190,421010363031.0
3608,zzw-223@628-pg8-zcq,Kole Made,Home Furnishings Stores,442299,421010137005.0
3609,zzw-223@628-pjf-zxq,Tower Health Medical Group Breast Health,Offices of Physicians,621111,421010387002.0
3610,zzw-223@628-pmb-fxq,Banh Mi and Bottles,Restaurants and Other Eating Places,722511,421010015001.0
3611,zzw-223@63s-dvw-9xq,Best Care Pharmacy,Health and Personal Care Stores,446110,421010093005.0
3612,zzw-224@628-pgb-swk,Buerger Early Learning Center,Child Day Care Services,624410,421010132002.0
3613,zzw-225@628-p85-hnq,Northeast Mechanical Contractors,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",423730,421010346001.0
3614,zzw-225@628-p8m-v2k,Foot Locker,Shoe Stores,448210,421010316003.0
3615,zzw-226@63s-dvy-kfz,SoBol University City,Restaurants and Other Eating Places,722515,421010369002.0
3616,zzw-227@628-pmv-3h5,Jefferson Outpatient Imaging,Medical and Diagnostic Laboratories,6215,421010050001.0
3617,zzw-228@628-pj6-435,Little Caesars,Restaurants and Other Eating Places,722513,421010291001.0
3618,zzw-229@628-pm4-cqz,Little Sicily Pizza,Restaurants and Other Eating Places,722511,421010039011.0
3619,zzw-22q@628-pm9-y9z,Takka Grill & Pizza,Restaurants and Other Eating Places,722511,421010010021.0
3620,zzy-222@628-p75-68v,JFCS Thrift Boutique,Used Merchandise Stores,453310,421010348013.0
3621,zzy-222@628-p7b-vs5,Thunderbird Lanes,Other Amusement and Recreation Industries,713950,421010348012.0
3622,zzy-222@628-pj3-whq,Living Vine Apostolic Faith Church Inc,Religious Organizations,813110,421010280004.0
3623,zzy-222@628-pmf-mzf,Love Park,"Museums, Historical Sites, and Similar Institutions",712190,421010004022.0
3624,zzy-223@628-pj5-249,St Michaels Church Rectry,Religious Organizations,813110,421010200002.0
3625,zzw-223@628-p8t-kcq,BB&T (Branch Banking and Trust),Depository Credit Intermediation,522110,421010362031.0
3626,zzw-223@628-pg4-8jv,Newmans Grill,Restaurants and Other Eating Places,722511,421010238003.0
3627,zzw-223@628-phy-6x5,St Gabriels Episcopal Church,Religious Organizations,813110,421010290003.0
3628,zzw-223@628-pm4-x89,Lincoln Square,Lessors of Real Estate,531120,421010019003.0
3629,zzw-223@628-pmd-yqf,Tasty Asia Restaurant,Restaurants and Other Eating Places,722511,421010019002.0
3630,zzw-223@628-pmf-j7q,Joe Coffee Company,Restaurants and Other Eating Places,722515,421010007002.0
3631,zzw-223@63s-dw9-8d9,Balducci's,Restaurants and Other Eating Places,722511,421019804001.0
3632,zzw-224@628-pgc-x5z,Metro by T Mobile Authorized Dealer,Electronics and Appliance Stores,443142,421010111005.0
3633,zzw-225@628-pm3-wc5,Acme Markets,Grocery Stores,445110,421010029003.0
3634,zzw-226@628-p9k-nqz,Dunkin',Restaurants and Other Eating Places,722515,421010360001.0
3635,zzw-227@628-pmb-7qz,Nomad Roman Pizza,Restaurants and Other Eating Places,722511,421010009012.0
3636,zzw-22b@628-pmf-sqz,Escape The Room Philly,Other Amusement and Recreation Industries,713990,421010008043.0
3637,zzy-222@628-p8f-bhq,Boys & Girls Clubs of America,Individual and Family Services,624110,421010294001.0
3638,zzy-222@628-pg2-4jv,Galilee Baptist Church,Religious Organizations,813110,421010210001.0
3639,zzy-222@628-pg2-zmk,Goodwill Industries,Used Merchandise Stores,453310,421010237002.0
3640,zzy-222@628-ph5-wzf,Carroll Park,"Museums, Historical Sites, and Similar Institutions",712190,421010112004.0
3641,zzy-222@628-pm8-yy9,Subway,Restaurants and Other Eating Places,722513,421010373002.0
3642,zzy-222@628-pnx-8n5,7th & Fairmont Market,Grocery Stores,445120,421010131001.0
3643,zzy-224@628-pmf-x89,Sue's Lunch Truck,Restaurants and Other Eating Places,722515,421010369003.0
3644,zzz-222@628-pgd-v9f,39Th and Olive Playground,Other Amusement and Recreation Industries,713990,421010108002.0
3645,zzz-222@628-pm4-mrk,Capitolo Playground,Other Amusement and Recreation Industries,713990,421010023002.0
3646,zzz-222@63s-dwf-xh5,Clearview Park,"Museums, Historical Sites, and Similar Institutions",712190,421010055002.0
3647,zzw-223@628-p76-7t9,AAA Office Furniture,"Office Supplies, Stationery, and Gift Stores",453210,421010381002.0
3648,zzw-223@628-pgb-pn5,Rite Aid,Health and Personal Care Stores,446110,421010141002.0
3649,zzw-223@628-pm5-9s5,Taco Bell,Restaurants and Other Eating Places,722513,421010372004.0
3650,zzw-223@628-pmb-5zz,One Pound Cheesesteak,Restaurants and Other Eating Places,722511,421010006001.0
3651,zzw-223@628-pmb-9j9,Dilworth Park Cafe,Restaurants and Other Eating Places,722513,421010005001.0
3652,zzw-223@628-pmf-j5f,Pizzeria Vetri,Restaurants and Other Eating Places,722513,421010008041.0
3653,zzw-224@628-pmd-v9f,Sotto,Restaurants and Other Eating Places,722511,421010007003.0
3654,zzw-224@628-pnt-435,Starbucks,Restaurants and Other Eating Places,722515,421010378001.0
3655,zzw-226@628-p7z-qs5,ShopRite,Grocery Stores,445110,421010309003.0
3656,zzw-227@628-p8d-zj9,A Plus,Grocery Stores,445120,421010298005.0
3657,zzw-228@628-pmb-x5z,Reserve Wine Bar & Lounge,Drinking Places (Alcoholic Beverages),722410,421010005001.0
3658,zzw-22r@628-phz-zj9,St Christopher& 039 S Pediatric Associates Neonatology Next Steps,Offices of Physicians,621111,421010383001.0
3659,zzy-222@628-p74-n3q,Mt Zion Baptist Church,Religious Organizations,813110,421010329001.0
3660,zzy-223@628-p7x-6x5,Ashraf's Halal Food Truck,Restaurants and Other Eating Places,722515,421010314023.0
3661,zzy-223@628-ph6-6rk,Holy Cross Baptist Church,Religious Organizations,813110,421010114006.0
3662,zzy-223@628-phq-vvf,St Peter's Evangelical Lutheran Church,Religious Organizations,813110,421010263021.0
3663,zzy-223@628-pj6-rx5,Seorabol Korean Restaurant,Restaurants and Other Eating Places,722511,421010274023.0
3664,zzw-223@628-p7v-mrk,CVS,Health and Personal Care Stores,446110,421010338005.0
3665,zzw-223@628-p9q-ht9,GIANT Food Stores,Grocery Stores,445110,421010346001.0
3666,zzw-223@628-pj6-435,America's Best Wings,Restaurants and Other Eating Places,722511,421010291001.0
3667,zzw-224@628-p83-x3q,Andonio's Diner,Restaurants and Other Eating Places,722511,421010344001.0
3668,zzw-224@628-pj8-dsq,Sunoco,Gasoline Stations,447110,421010390004.0
3669,zzw-226@628-pmb-7kf,Shen Yun Performing Arts,Motion Picture and Video Industries,512131,421010008042.0
3670,zzw-22d@628-pmf-6ff,Taku Kambayashi MD PhD,Offices of Physicians,621111,421010369002.0
3671,zzy-222@628-p8h-4sq,Star of Hope Baptist Church,Religious Organizations,813110,421010326007.0
3672,zzy-222@628-pm6-t5f,Assumption of the Holy Virgin Orthodox Church,Religious Organizations,813110,421010036003.0
3673,zzy-222@628-pmf-xkf,Greyhound,Interurban and Rural Bus Transportation,485210,421019800001.0
3674,zzy-223@628-phy-q75,Ayuda Community Center,Child Day Care Services,624410,421010197003.0
3675,zzz-222@628-pfx-grk,Kelly Park Playground,Other Amusement and Recreation Industries,713990,421010216001.0
3676,zzz-222@628-pg9-hwk,Mander Playground,Other Amusement and Recreation Industries,713990,421019800001.0
3677,zzz-222@628-pmd-xwk,Julian Abele Park,"Museums, Historical Sites, and Similar Institutions",712190,421010013003.0
3678,zzw-223@628-p7z-7qz,Wawa,Grocery Stores,445120,421010339002.0
3679,zzw-223@628-pgf-yn5,Salvation Deliverance Tabernacle,Religious Organizations,813110,421010110003.0
3680,zzw-223@628-pgh-xh5,Cure Discount Pharmacy,Health and Personal Care Stores,446110,421010167023.0
3681,zzw-223@628-ph6-66k,St Thomas P E Church,Religious Organizations,813110,421010375001.0
3682,zzw-223@628-pmf-qs5,Genesis HealthCare,Outpatient Care Centers,621498,421010012024.0
3683,zzw-223@63s-dvw-y5f,Sunray Drugs 56th and Market Streets,Health and Personal Care Stores,446110,421010084004.0
3684,zzw-224@628-pft-z9f,Beggar's Banquet Vintage,Clothing Stores,4481,421010212002.0
3685,zzw-224@628-pgh-6ff,Alpha Office Supplies,"Office Supplies, Stationery, and Gift Stores",453210,421010202004.0
3686,zzw-224@63s-dvq-vpv,Rainbow Shops,Clothing Stores,448140,421010066001.0
3687,zzw-224@63s-dvw-hnq,Palms Solutions,Printing and Related Support Activities,3231,421010086011.0
3688,zzw-225@628-phz-zj9,Yuri Shevchenko MD Christopher's Hospital for Children,Offices of Physicians,621111,421010383001.0
3689,zzw-225@628-pp2-s3q,ShopRite Pharmacy,Health and Personal Care Stores,446110,421010379003.0
3690,zzw-229@628-p77-c3q,Yamato Hibachi Sushi,Restaurants and Other Eating Places,722511,421010353011.0
3691,zzw-229@628-p8f-9xq,Le Truck Seafood,Restaurants and Other Eating Places,722511,421010293001.0
3692,zzy-222@628-pgd-z9f,PHS Pop Up Garden uCity Square,Drinking Places (Alcoholic Beverages),722410,421010090004.0
3693,zzy-222@628-pm9-fxq,ShopRite,Grocery Stores,445110,421010038002.0
3694,zzy-222@628-pmb-xqz,,,0,421010002001.0
3695,zzy-222@628-pmf-73q,Children's Hospital Of Philadelphia,General Medical and Surgical Hospitals,622110,421010369002.0
3696,zzy-222@63s-dvp-mx5,Bethany Baptist Church,Religious Organizations,813110,421010065004.0
3697,zzy-222@63s-dw8-b6k,,,0,421019804001.0
3698,zzy-223@628-pmf-q9f,PHS Pop Up Garden,Drinking Places (Alcoholic Beverages),722410,421010014003.0
3699,zzy-224@628-p8d-dqf,Bridesburg Bottle Shop,Restaurants and Other Eating Places,722511,421010183003.0
3700,zzy-224@628-pm7-vpv,Masjid Abdullah Bin Baaz Inc,Religious Organizations,813110,421010032003.0
3701,zzz-222@628-pj3-49z,Nicetown Park,"Museums, Historical Sites, and Similar Institutions",712190,421010204004.0
3702,zzz-222@628-pm3-wff,South Philadelphia Older Adults Center,"Museums, Historical Sites, and Similar Institutions",712190,421010029003.0
3703,zzw-223@628-pgh-tvz,Educationworks At Tanner Duckrey School,Child Day Care Services,624410,421010153003.0
3704,zzw-224@628-p85-c5z,Northeast Sleep Disorders Center,Outpatient Care Centers,621498,421010333001.0
3705,zzw-224@628-p8m-wp9,Blessed Trinity Regional Catholic School,Religious Organizations,813110,421010316004.0
3706,zzw-224@628-pg8-zcq,Kith Kin,Other Amusement and Recreation Industries,713990,421010137005.0
3707,zzw-224@628-pm5-py9,Whitman Plaza,Lessors of Real Estate,531120,421010372004.0
3708,zzw-229@628-pmb-yd9,Tango,Restaurants and Other Eating Places,722511,421010002001.0
3709,zzw-22g@628-pmf-sqz,SelfEmbodiment Fitness,Other Amusement and Recreation Industries,713940,421010008043.0
3710,zzw-22t@628-pmf-n5z,Dollar Tree,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421010004022.0
3711,zzy-222@628-pj4-6zf,GiantMatic,"Advertising, Public Relations, and Related Services",5418,421010245002.0
3712,zzy-222@628-pm5-s89,Gyro Hut Halal Food,Restaurants and Other Eating Places,722511,421010042022.0
3713,zzy-222@628-pmb-2zf,Thaddeus Kosciuszko National Memorial,"Museums, Historical Sites, and Similar Institutions",712120,421010010022.0
3714,zzy-224@628-pm4-g49,Penn Urgent Care South Philadelphia,Outpatient Care Centers,621493,421010039011.0
